category,question,answer,source
요금 및 견적,사마베 호텔 예약을 진행하려면 어떻게 해야 하나요?,여권 정보 이메일 전송,액티벤처:90272
상품예약 및 결제,사마베 호텔에서 골프장 셔틀을 무료로 이용할 수 있나?,네.,액티벤처:90271
요금 및 견적,그랜드 하얏트 예약 시 얼마의 객실 요금이 책정되나?,$145,액티벤처:90276
요금 및 견적,공항 픽업 서비스는 어떻게 제공되나요?,3박 이상 무료 조인 서비스,액티벤처:90268
상품예약 및 결제,객실 예약을 위해 보내야 할 정보에 포함된 사람은 누구야?,예약자,액티벤처:90273
요금 및 견적,파드마 우붓 호텔 예약 시 제출해야 할 주요 정보는 뭐라고 해?,여권 영문 이름과 생년월일,액티벤처:90277
요금 및 견적,현재 예약 가능한 객실은 무엇인가?,더 얼 스위트,액티벤처:90269
상품예약 및 결제,발리 여행 상담에서 무료 공항 픽업 서비스를 제공하는 사람은 누구인가요?,호텔 측,액티벤처:90280
요금 및 견적,호텔 예약 시 계약금은 얼마를 입금해야 하나요?,30만 원,액티벤처:90266
상품예약 및 결제,신한카드로 결제 시 무이자 할부가 가능한가요?,아니요.,액티벤처:90270
상품예약 및 결제,예약 시 이메일로 보내야 할 정보는 무엇인가?,"영문 이름, 생년월일 앞 6자리, 픽업 정보",액티벤처:90282
상품예약 및 결제,클리프타워 객실은 아동 2명이 모두 숙박 가능한가요?,아니요.,액티벤처:90280
요금 및 견적,그랜드 하얏트 예약 시 무료 취소가 가능한가?,아니요.,액티벤처:90276
요금 및 견적,호텔 예약 시 카드 결제가 가능한가요?,네.,액티벤처:90287
요금 및 견적,사마베 호텔의 무료 공항 픽업 서비스는 누구에게 제공되나요?,3박 이상 예약자,액티벤처:90272
상품예약 및 결제,발리 여행에서 아동 2명이 숙박할 수 있는 객실은 어떻게 예약하나요?,디럭스 패밀리룸으로,액티벤처:90280
상품예약 및 결제,포시즌 사이안에서 4박 시 저녁 식사 2회를 받을 수 있어?,아니.,액티벤처:90281
요금 및 견적,18시 이후 레이트 체크아웃이 무료로 가능한가?,아니요.,액티벤처:90275
상품예약 및 결제,노보텔 호텔 예약이 가능한가요?,아니요.,액티벤처:90262
상품예약 및 결제,호텔 간 이동은 어떻게 할 수 있어?,단독 차량으로 $37에 가능,액티벤처:90281
상품예약 및 결제,리조트 결제는 어떻게 할 수 있나요?,원화/외화 계좌,액티벤처:90305
요금 및 견적,림바 짐바란과 파드마 르기안 호텔은 만 13세 자녀와 함께 숙박이 가능한가?,아니요.,액티벤처:90284
요금 및 견적,3박 이상 예약 시 공항에서 숙소까지 무료 픽업이 가능한가?,네.,액티벤처:90285
상품예약 및 결제,신한카드로 결제 시 무이자 할부가 가능한가?,아니요.,액티벤처:90282
요금 및 견적,아야나 리조트와 아야나 세가라 리조트의 숙박 요금은 동일한가요?,아니요.,액티벤처:90288
요금 및 견적,호텔 간 이동 시 차량 요금은 어떻게 달라지나?,"위치, 인원, 짐에 따라 다름",액티벤처:90285
요금 및 견적,호텔 결제는 어떻게 할 수 있어?,달러 환율 적용 입금,액티벤처:90286
상품예약 및 결제,안다즈 리조트 예약 시 특전이 있나요?,네.,액티벤처:90299
요금 및 견적,3박 이상 예약 시 공항 픽업 서비스가 제공되나요?,네.,액티벤처:90306
요금 및 견적,3박 이상 예약 시 공항 픽업 서비스가 무료인가요?,네.,액티벤처:90293
요금 및 견적,호텔 예약을 원하는 여행 인원은 누구야?,"성인 2명, 어린이 1명, 유아 1명",액티벤처:90286
요금 및 견적,더블식스 호텔 결제는 어떻게 할 수 있어?,미국 달러로,액티벤처:90308
상품예약 및 결제,파드마 우붓 리조트 공항 픽업 서비스는 어떻게 받을 수 있나요?,이메일로 정보 전송,액티벤처:90290
요금 및 견적,발리 여행 예약을 진행하시겠습니까?,네.,액티벤처:90283
요금 및 견적,가족 4명이 숙박할 때 객실 배치는 어떻게 하나요?,트윈베드나 더블베드,액티벤처:90288
상품예약 및 결제,카드 결제 시 무이자 할부가 가능한 카드가 있니?,응.,액티벤처:90289
요금 및 견적,카드 결제는 모든 카드로 가능해?,아니.,액티벤처:90286
요금 및 견적,카드 결제 시 무이자 할부는 어떻게 적용되나?,카드별 3~5개월,액티벤처:90307
상품예약 및 결제,호텔 예약 시 결제는 어떻게 할 수 있나요?,현금 또는 카드 결제,액티벤처:90295
상품예약 및 결제,무료 공항 픽업 서비스를 받을 수 있는 사람은 누구인가요?,3박 이상 예약자,액티벤처:90290
요금 및 견적,공항 픽업 서비스가 모든 지역에서 무료인가?,아니요.,액티벤처:90294
요금 및 견적,공항 픽업은 어떻게 제공되나요?,조인 가능,액티벤처:90291
요금 및 견적,호텔 예약을 위해 어떻게 정보를 제출해야 하나요?,이메일로 제출,액티벤처:90309
상품예약 및 결제,현대카드로 결제 시 무이자 할부가 가능한가요?,네.,액티벤처:90295
요금 및 견적,카자네무아 다누맨션 예약은 어떻게 결제하나요?,원화 또는 외화 계좌,액티벤처:90298
요금 및 견적,모든 객실에서 무료 공항 픽업 서비스가 제공되나요?,아니요.,액티벤처:90278
요금 및 견적,물리아 호텔 예약 시 조식이 포함되어 있나요?,네.,액티벤처:90291
요금 및 견적,신한카드로 결제 시 무이자 혜택이 있나요?,아니요.,액티벤처:90296
상품예약 및 결제,모든 신용카드로 결제가 가능한가요?,아니요.,액티벤처:90290
상품예약 및 결제,공항 픽업 서비스는 누구에게 제공되나요?,3박 이상 예약 고객,액티벤처:90295
상품예약 및 결제,안다즈 리조트 예약은 어떻게 진행하나요?,정보 전달,액티벤처:90299
상품예약 및 결제,신한카드로 결제 시 무이자 혜택이 있나요?,아니요.,액티벤처:90305
상품예약 및 결제,신한카드는 무이자 할부가 가능한가요?,아니요.,액티벤처:90297
요금 및 견적,공항 픽업 서비스를 받을 수 있는 사람은 누구인가요?,3박 이상 예약 고객,액티벤처:90298
상품예약 및 결제,공항 픽업 서비스는 어떻게 예약하나요?,항공편명 전달,액티벤처:90297
상품예약 및 결제,호텔 결제는 어떻게 할 수 있나요?,카드로 결제,액티벤처:90301
요금 및 견적,5+1 & 얼리버드 할인을 받을 수 있나요?,네.,액티벤처:90304
요금 및 견적,카자네무아 다누맨션 예약 시 엑스트라베드를 무료로 제공하나요?,아니요.,액티벤처:90298
요금 및 견적,체크인 15일 이전 예약 취소는 가능한가요?,네.,액티벤처:90309
요금 및 견적,리조트 예약 시 제공되는 서비스는 뭐야?,"중식, 미니바, 라운지",액티벤처:90310
상품예약 및 결제,모든 카드로 결제가 가능한가?,아니요.,액티벤처:90300
요금 및 견적,카드 결제 시 추가되는 비용은 어떻게 계산되나요?,2.5% 카드 수수료,액티벤처:90303
요금 및 견적,물리아리조트 예약 기간은 어떻게 되지?,6박 일정,액티벤처:90304
요금 및 견적,호텔 예약 시 결제 가능한 카드는 무엇인가요?,"국민, 현대, 삼성, 신한카드",액티벤처:90306
예약변경 및 취소,호텔에서 소파베드를 사전에 확정해줄 수 있나?,아니요.,액티벤처:90302
요금 및 견적,호텔 예약 시 무료로 제공되는 서비스는 무엇인가요?,공항 픽업,액티벤처:90304
요금 및 견적,물리아리조트 예약이 가능한가?,아니요.,액티벤처:90308
요금 및 견적,비수기 시즌 예약은 15일 이전 취소 시 호텔 패널티 없이 취소 가능해?,응.,액티벤처:90307
상품예약 및 결제,예약 완료 후 추가 서비스를 받을 수 있어?,응.,액티벤처:90316
요금 및 견적,14세 어린이는 성인 요금으로 계산되나?,아니요.,액티벤처:90310
요금 및 견적,호텔 예약 시 할인은 어떻게 적용되나요?,50일 전 15%,액티벤처:90311
요금 및 견적,모든 신용카드로 결제가 가능한가요?,아니요.,액티벤처:90311
요금 및 견적,애프터눈티를 제공받을 수 있는 대상은 누구야?,성인 2인,액티벤처:90315
상품예약 및 결제,호텔 결제는 어떻게 할 수 있어?,현금 또는 카드,액티벤처:90316
요금 및 견적,파드마우붓 호텔 프리미어룸에서 디럭스룸으로 업그레이드하는 방법은?,객실 가용 시 무료,액티벤처:90315
상품예약 및 결제,신한카드로 결제 시 무이자 할부 혜택이 있나요?,아니요.,액티벤처:90317
상품예약 및 결제,멜리아 발리 예약 시 카드 결제가 가능한가요?,네.,액티벤처:90326
요금 및 견적,공항 픽업은 어떻게 진행되나요?,조인 픽업,액티벤처:90328
상품예약 및 결제,결제는 어떤 방식으로 할 수 있나요?,"원화, 외화 계좌",액티벤처:90313
상품예약 및 결제,엑스트라 베드는 예약 시 추가할 수 있어?,응.,액티벤처:90312
상품예약 및 결제,무료 공항 픽업 서비스를 받을 수 있는 최소 숙박 기간은 어떻게 되지?,3박 이상,액티벤처:90312
상품예약 및 결제,예약 시 필요한 주요 정보는 무엇을 준비해야 해?,여권 영문 이름과 생년월일,액티벤처:90312
요금 및 견적,3박 이상 예약 시 공항 픽업 서비스를 받을 수 있나요?,네.,액티벤처:90314
상품예약 및 결제,비수기 시즌에 체크인 15일 이내 취소 시 패널티가 없나요?,아니요.,액티벤처:90313
요금 및 견적,카드 결제 시 무이자 할부는 어떻게 진행되나요?,"현대 3개월, 삼성 5개월",액티벤처:90318
요금 및 견적,모든 카드로 결제가 가능한가?,아니요.,액티벤처:90321
상품예약 및 결제,더 카욘 정글리조트 예약은 어떻게 진행하면 되나요?,이메일로 정보 전송,액티벤처:90320
상품예약 및 결제,3박 이상 예약 시 공항 픽업 서비스가 무료로 제공되나요?,네.,액티벤처:90320
요금 및 견적,카드 결제 시 몇 퍼센트의 수수료가 추가되지?,2.5%,액티벤처:90321
상품예약 및 결제,공항 픽업 서비스는 3박 이상 예약 시 무료로 제공되나?,네.,액티벤처:90322
요금 및 견적,공항 픽업 서비스는 모든 예약에 제공되나요?,아니요.,액티벤처:90315
요금 및 견적,발리 여행 예약 시 공항 픽업은 어떻게 제공되나요?,무료 1회 조인 서비스,액티벤처:90325
요금 및 견적,호텔 예약 취소 시 패널티가 없나요?,아니요.,액티벤처:90323
상품예약 및 결제,공항 픽업 서비스는 누구와 함께 이용할 수 있나요?,"같은 항공, 같은 지역 호텔 손님",액티벤처:90320
요금 및 견적,호텔 결제는 어떻게 할 수 있나요?,현금 또는 카드,액티벤처:90323
상품예약 및 결제,멜리아 발리 예약은 어떻게 시작할 수 있나요?,이메일로 정보 전송,액티벤처:90326
요금 및 견적,3박 이상 예약 시 무료 공항 픽업 서비스를 받을 수 있나요?,네.,액티벤처:90324
요금 및 견적,예약 시 필요한 정보를 제공해야 하는 사람은 누구야?,예약자 전원,액티벤처:90331
요금 및 견적,여행 패키지의 총 요금은 어떻게 계산되나요?,2룸 총 $1900,액티벤처:90330
요금 및 견적,여행에 함께 가는 인원은 누구인가요?,성인 4명과 유아 1명,액티벤처:90330
요금 및 견적,3박 이상 예약 시 공항픽업 서비스가 제공되나요?,예.,액티벤처:90330
예약변경 및 취소,르네상스 발리 호텔 예약을 위해 이메일로 보내야 할 정보는 무엇인가?,영문 이름과 생년월일,액티벤처:90327
요금 및 견적,더 물리아 호텔의 공항 픽업 서비스는 어떻게 제공되나요?,무료 조인 서비스,액티벤처:90333
요금 및 견적,공항 픽업 서비스는 모든 예약에 무료로 제공되나요?,아니요.,액티벤처:90329
요금 및 견적,마사지 예약은 어떻게 할 수 있나요?,현장 예약 대행,액티벤처:90331
요금 및 견적,예약 시 필요한 정보는 무엇을 준비해야 해?,"여권 영문 이름, 생년월일",액티벤처:90337
요금 및 견적,공항 픽업 차량은 어떻게 운영되나요?,조인 픽업 방식,액티벤처:90338
요금 및 견적,카드 결제 시 모든 카드로 결제가 가능한가요?,아니요.,액티벤처:90333
상품예약 및 결제,예약은 어떻게 신청하나요?,이메일로 신청,액티벤처:90344
요금 및 견적,아야나 리조트 예약 시 조식이 포함되나요?,네.,액티벤처:90334
요금 및 견적,공항 픽업 서비스는 어떻게 받을 수 있나요?,3박 이상 예약,액티벤처:90336
상품예약 및 결제,공항 픽업 서비스는 모든 예약에 무료로 제공되나요?,아니요.,액티벤처:90335
요금 및 견적,공항 픽업 서비스는 어떻게 제공되나요?,3박 이상 무료,액티벤처:90334
요금 및 견적,하드록 발리 디럭스 프리미엄룸 예약 기간은 어떻게 되지?,3박,액티벤처:90339
상품예약 및 결제,체크인 15일 이내 취소 시 패널티가 없나요?,아니요.,액티벤처:90332
상품예약 및 결제,더물리아 빌라스 예약에 필요한 정보는 어떻게 보내야 하나요?,이메일로,액티벤처:90340
요금 및 견적,카드 결제 시 무이자 할부가 가능한가요?,네.,액티벤처:90336
요금 및 견적,조식과 세금이 숙박료에 포함되어 있나요?,네.,액티벤처:90338
상품예약 및 결제,더 로얄 산트리안 호텔은 현재 예약이 가능한가요?,아니요.,액티벤처:90340
요금 및 견적,현금 결제 시 수수료 2.5%가 추가되나?,아니요.,액티벤처:90337
요금 및 견적,공항 픽업 서비스를 받을 수 있는 예약 최소 기간은 몇 박인가요?,3박,액티벤처:90351
요금 및 견적,호텔에 4인 가족이 투숙할 수 있는 객실이 있나요?,네.,액티벤처:90341
요금 및 견적,파드마 우붓 호텔의 결제는 어떻게 할 수 있어?,카드 결제 가능,액티벤처:90343
예약변경 및 취소,조식이 숙박 요금에 포함되어 있어?,응.,액티벤처:90342
요금 및 견적,클럽룸에 숙박하면 클럽 베네핏을 이용할 수 있어?,응.,액티벤처:90343
요금 및 견적,신한카드는 무이자 혜택이 있나요?,아니요.,액티벤처:90348
요금 및 견적,호텔 객실 체크인 시 직접 객실을 확인하나요?,아니요.,액티벤처:90346
요금 및 견적,공항 픽업 서비스를 이용할 수 있는 사람은 누구야?,3박 이상 예약자,액티벤처:90343
요금 및 견적,리츠칼튼 발리 호텔의 공항 샌딩 서비스는 어떻게 제공되나요?,3박 이상 무료,액티벤처:90350
상품예약 및 결제,카드 결제 시 모든 카드로 결제할 수 있나요?,아니요.,액티벤처:90345
요금 및 견적,발리 여행 예약 시 결제는 어떻게 할 수 있어?,원화/외화 계좌 입금,액티벤처:90346
요금 및 견적,공항 픽업 서비스를 신청할 때 필요한 정보를 제공해야 하는 사람은 누구야?,예약자,액티벤처:90346
요금 및 견적,공항 픽업 서비스는 3박 이상 예약 시 무료인가?,네.,액티벤처:90347
요금 및 견적,환율은 어떻게 계산되나요?,실시간 환율,액티벤처:90348
요금 및 견적,파드마리조트 우붓에서 카드 결제가 가능한가?,네.,액티벤처:90349
예약변경 및 취소,호텔 예약을 어떻게 진행할 수 있어?,이메일로 정보 전송,액티벤처:90342
요금 및 견적,호텔 예약 시 결제는 어떻게 할 수 있나요?,카드로 결제,액티벤처:90358
요금 및 견적,커넥팅룸은 사전에 확정할 수 있나요?,아니요.,액티벤처:90354
요금 및 견적,모든 기간에 스카이 빌라 예약이 가능한가?,아니요.,액티벤처:90352
요금 및 견적,공항 픽업 서비스를 무료로 이용할 수 있는 최소 숙박 기간은 몇 박인가요?,3박,액티벤처:90356
요금 및 견적,1박 가능한 날짜가 있었어?,응.,액티벤처:90352
요금 및 견적,호텔 결제는 어떤 방법으로 할 수 있나요?,"원화, 외화 계좌",액티벤처:90351
요금 및 견적,허니문 2박 패키지에 포함된 특전은 뭐야?,로맨틱 디너와 와인,액티벤처:90352
상품예약 및 결제,공항 픽업 서비스를 제공하는 측은 누구야?,호텔,액티벤처:90361
상품예약 및 결제,여행 예약 시 결제는 어떻게 하나요?,원화 계좌 입금,액티벤처:90361
요금 및 견적,공항 픽업 서비스는 누구와 함께 이용할 수 있나요?,다른 손님과 조인,액티벤처:90355
요금 및 견적,래이트 체크아웃은 어떤 방식으로 요금이 책정되나요?,6시 기준 50%,액티벤처:90356
요금 및 견적,신한카드로 결제 시 무이자 할부가 가능한가요?,아니요.,액티벤처:90358
상품예약 및 결제,아동은 부모와 함께 베드쉐어가 가능한가요?,네.,액티벤처:90357
요금 및 견적,호텔 특가요금에 다른 이벤트가 중복 적용되나요?,아니요.,액티벤처:90350
요금 및 견적,체크아웃 후에도 호텔 시설을 이용할 수 있나요?,네.,액티벤처:90355
요금 및 견적,15일 이내 취소 시 호텔 패널티 없이 취소할 수 있나요?,아니요.,액티벤처:90356
요금 및 견적,공항 픽업 서비스는 어떻게 신청하나요?,이메일로 정보 전송,액티벤처:90360
상품예약 및 결제,공항 픽업 서비스는 어떻게 예약하나요?,예약 시 정보 전달,액티벤처:90353
요금 및 견적,마린파크는 워터파크가 아닌가요?,아니요.,액티벤처:90368
요금 및 견적,비수기 시즌 15일 이내 취소 시 호텔 패널티 없이 취소할 수 있나요?,아니요. 호텔 규정에 따라 패널티가 부과될 수 있습니다.,액티벤처:90360
상품예약 및 결제,호텔 예약 시 결제는 어떻게 할 수 있나요?,계좌 입금 또는 카드 결제,액티벤처:90365
요금 및 견적,소피텔 호텔 예약 시 무엇을 제공받나요?,조식,액티벤처:90364
요금 및 견적,달러를 원화로 계산하는 방법은 어떻게 되나요?,실시간 환율 적용,액티벤처:90363
요금 및 견적,마라리버 사파리는 어떻게 진행되나요?,지프차로 동물 관찰,액티벤처:90368
요금 및 견적,조식과 세금이 호텔 비용에 포함되어 있나요?,네.,액티벤처:90369
요금 및 견적,호텔 예약 시 보내야 할 개인정보는 누구의 것인가요?,예약자 본인,액티벤처:90366
요금 및 견적,호텔 예약 시 개인정보는 어떻게 보내야 하나요?,이메일로 전송,액티벤처:90366
상품예약 및 결제,현대카드로 무이자 할부 결제가 가능한가요?,네.,액티벤처:90365
요금 및 견적,스미냑 호텔 예약은 어떻게 진행할 수 있나요?,이메일로 정보 전송,액티벤처:90367
요금 및 견적,호텔 예약은 어떻게 진행할 수 있나요?,이메일로 여권 정보 전송,액티벤처:90369
요금 및 견적,로얄 스위트에 어린이 추가가 가능한가요?,아니요.,액티벤처:90367
요금 및 견적,만 5세 아동은 숙박비를 내야 하나요?,아니요.,액티벤처:90377
상품예약 및 결제,호텔 결제는 어떻게 할 수 있나요?,원화/외화 계좌 입금,액티벤처:90378
상품예약 및 결제,카드로 여행 상품 결제가 가능한가?,네.,액티벤처:90376
상품예약 및 결제,모든 호텔 예약에 무료 공항 픽업 서비스가 제공되나요?,아니요.,액티벤처:90375
요금 및 견적,공항 픽업 서비스를 무료로 받을 수 있는 사람은 누구야?,3박 이상 예약자,액티벤처:90377
요금 및 견적,여행사에서 객실 예약은 어떻게 진행하나요?,메일로 정보 전송,액티벤처:90373
상품예약 및 결제,호텔 예약을 어떻게 진행할 수 있나요?,이메일로 신청,액티벤처:90375
요금 및 견적,호텔 예약 시 공항 픽업 서비스는 어떻게 진행되나요?,조인 픽업 서비스,액티벤처:90371
요금 및 견적,두 객실 모두 현재 예약 가능한가요?,네.,액티벤처:90373
요금 및 견적,카드 결제 시 무이자 할부를 할 수 있는 카드는 어떻게 되나?,"현대 3개월, 삼성·국민 5개월",액티벤처:90377
요금 및 견적,호텔 결제 시 카드 수수료가 없나요?,아니요.,액티벤처:90372
상품예약 및 결제,인디고 발리 여행 결제는 어떻게 하나요?,원화 또는 외화 계좌,액티벤처:90379
상품예약 및 결제,공항 픽업 서비스는 무료가 아닌가요?,아니요.,액티벤처:90380
상품예약 및 결제,파드마 우붓 클럽룸 예약 기간은 어떻게 되지?,3박,액티벤처:90382
요금 및 견적,패밀리룸 예약이 가능한가?,아니요.,액티벤처:90381
요금 및 견적,호텔 결제는 어떻게 할 수 있어?,외화계좌 입금 또는 카드결제,액티벤처:90381
예약변경 및 취소,여행사 취소 수수료는 3만 원인가?,네.,액티벤처:90384
상품예약 및 결제,3박 이상 예약 시 공항 픽업 서비스가 무료인가?,네.,액티벤처:90382
상품예약 및 결제,카드 결제 시 수수료는 얼마인가요?,2.5% 추가,액티벤처:90383
상품예약 및 결제,예약 시 정보를 보내야 하는 사람은 누구인가요?,모든 예약자,액티벤처:90390
요금 및 견적,공항 픽업 서비스는 무료로 제공되나요?,네.,액티벤처:90392
상품예약 및 결제,공항 픽업 서비스를 제공하는 대상은 누구인가요?,3박 이상 예약 고객,액티벤처:90378
상품예약 및 결제,왕사 원베드 풀빌라는 예약 가능한가요?,네.,액티벤처:90400
상품예약 및 결제,현대카드로 무이자 할부가 가능한가요?,네.,액티벤처:90378
요금 및 견적,하얏트리젠시와 파드마르기안 호텔을 연속해서 예약할 수 있나요?,네.,액티벤처:90388
상품예약 및 결제,공항 픽업 서비스는 어떻게 제공되나요?,3박 이상 무료 제공,액티벤처:90390
상품예약 및 결제,아야나 리조트의 레이트 체크아웃은 무료인가요?,아니요.,액티벤처:90387
요금 및 견적,카드 결제 시 추가되는 수수료는 얼마인가요?,2.5% 수수료,액티벤처:90388
요금 및 견적,발리 여행 호텔 예약 시 결제는 어떻게 할 수 있어?,카드 결제,액티벤처:90386
요금 및 견적,발리 여행 호텔 예약 시 무이자 할부가 가능해?,응.,액티벤처:90386
요금 및 견적,발리 여행에서 공항 픽업 서비스를 함께 받을 수 있는 사람은 누구야?,"같은 항공, 같은 지역 호텔 손님",액티벤처:90386
요금 및 견적,패밀리스위트룸의 가격은 특가로 확정된 가격인가요?,아니요.,액티벤처:90385
상품예약 및 결제,공항 픽업 서비스는 모든 객실에 무료로 제공되나요?,아니요.,액티벤처:90401
요금 및 견적,카드 결제 시 모든 카드로 결제가 가능한가?,아니요.,액티벤처:90389
상품예약 및 결제,만다파 리츠칼튼 스위트 룸 2개를 예약할 수 있나요?,"네, 가능해요.",액티벤처:90390
요금 및 견적,이동 차량 비용은 어떻게 계산되나요?,구간별 $25~$37,액티벤처:90395
요금 및 견적,멜리아 발리 패밀리스위트룸의 가격은 어떻게 계산되나요?,"1박 255불, 2박 510불",액티벤처:90385
요금 및 견적,호텔 예약에 포함된 서비스는 무엇인가요?,호텔 런치 1회,액티벤처:90392
상품예약 및 결제,인디고호텔 예약 시 무료로 제공되는 혜택은 무엇인가?,네이버후드 객실 업그레이드,액티벤처:90397
요금 및 견적,공항 픽업 서비스는 어떻게 제공되나요?,조인 픽업 서비스,액티벤처:90398
요금 및 견적,신한카드로 결제 시 무이자 할부가 가능한가?,아니요.,액티벤처:90391
상품예약 및 결제,공항 픽업 서비스는 어떻게 진행되나요?,조인 픽업 서비스,액티벤처:90396
상품예약 및 결제,3박 이상 예약 시 특별 혜택이 있나요?,네.,액티벤처:90396
요금 및 견적,결제는 온라인으로만 가능한가요?,아니요.,액티벤처:90395
요금 및 견적,공항 픽업 서비스는 누구와 함께 이용할 수 있나요?,같은 항공 다른 손님,액티벤처:90395
요금 및 견적,무료 1박 또는 1+1 프로모션이 진행 중인 호텔은 무엇인가요?,"더물리아, 소피텔 등",액티벤처:90399
상품예약 및 결제,카드 결제 시 무이자 할부는 어떻게 적용되나요?,3~5개월 무이자,액티벤처:90401
요금 및 견적,호텔 예약 취소는 어떻게 진행되나요?,체크인 15일 전 취소,액티벤처:90393
상품예약 및 결제,호텔 결제는 어떻게 이루어지나요?,달러 환산 입금,액티벤처:90402
상품예약 및 결제,3박 이상 예약 시 공항 픽업 서비스가 무료로 제공되니?,응.,액티벤처:90404
상품예약 및 결제,호텔 예약 시 체크인 15일 전 취소는 패널티 없이 가능한가요?,아니요.,액티벤처:90403
상품예약 및 결제,호텔 예약 시 픽업 서비스는 어떻게 제공되나요?,3박 이상 무료 제공,액티벤처:90403
상품예약 및 결제,왕사 원베드 풀빌라의 풀 깊이는 어떻게 되나요?,1.2미터,액티벤처:90400
상품예약 및 결제,3박 이상 예약 시 공항픽업 서비스를 제공받을 수 있나요?,네.,액티벤처:90409
상품예약 및 결제,호텔 결제는 어떻게 할 수 있어?,카드 결제,액티벤처:90404
요금 및 견적,공항 픽업 서비스는 개별 픽업인가?,아니요.,액티벤처:90407
요금 및 견적,아동과 함께 호텔 숙박 시 엑스트라 베드는 어떻게 처리하나요?,연령에 따라 다름,액티벤처:90414
상품예약 및 결제,3박 이상 예약 시 제공되는 서비스는 어떻게 받을 수 있나요?,무료 공항픽업,액티벤처:90410
요금 및 견적,카드 결제가 가능한가요?,네.,액티벤처:90406
상품예약 및 결제,모든 신용카드로 결제할 수 있나요?,아니요.,액티벤처:90402
요금 및 견적,무료 공항 픽업 서비스가 제공되는 숙박 기간은 어떻게 되지?,3박 이상,액티벤처:90407
요금 및 견적,그랜드 디럭스룸에서 아동 엑스트라 베드는 선택사항인가?,아니요.,액티벤처:90415
상품예약 및 결제,길리옴박선셋리조트 예약이 가능한가?,네.,액티벤처:90413
요금 및 견적,공항 픽업 차량은 어떻게 제공되나요?,3박 이상 무료,액티벤처:90408
요금 및 견적,공항 픽업 서비스는 현장에서 바로 확정되나요?,아니요.,액티벤처:90405
요금 및 견적,공항 픽업 서비스를 제공하나요?,네.,액티벤처:90394
상품예약 및 결제,F&B 크레딧은 2인 기준으로 사용 가능한가요?,네.,액티벤처:90411
상품예약 및 결제,결제는 어떻게 할 수 있나요?,"원화 입금, 외화계좌, 카드결제",액티벤처:90412
요금 및 견적,공항 픽업 서비스는 누구에게 제공되나요?,3박 이상 예약 고객,액티벤처:90408
상품예약 및 결제,공항 픽업 서비스가 모든 객실에 무료로 제공되나요?,아니요.,액티벤처:90418
상품예약 및 결제,조식 추가는 필수인가요?,아니요.,액티벤처:90410
상품예약 및 결제,비수기 시즌에 체크인 15일 전 취소하면 패널티 없이 취소 가능해?,응.,액티벤처:90412
상품예약 및 결제,에카자야 배편은 어떻게 다른가?,더 빠르고 편안,액티벤처:90413
상품예약 및 결제,호텔 예약 시 공항 픽업 서비스를 받을 수 있나요?,네.,액티벤처:90417
상품예약 및 결제,호텔 픽업 서비스는 어떤 방식으로 제공되나요?,조인 픽업 서비스,액티벤처:90420
상품예약 및 결제,처음 원했던 날짜에 객실 예약이 가능했나요?,아니요.,액티벤처:90424
상품예약 및 결제,신한카드로 무이자 할부가 가능한가요?,아니요.,액티벤처:90420
상품예약 및 결제,공항 픽업 서비스와 함께 제공되는 것은 무엇인가?,3박 이상 무료 서비스,액티벤처:90422
상품예약 및 결제,하드락 호텔 결제는 어떻게 할 수 있나요?,원화/외화 계좌,액티벤처:90426
상품예약 및 결제,객실은 어떻게 확인하나요?,예약 요청 시 실시간 확인,액티벤처:90416
상품예약 및 결제,호텔 예약 결제는 어떻게 할 수 있나요?,카드나 계좌로,액티벤처:90423
요금 및 견적,예약 대표자는 누구인가요?,고객 본인,액티벤처:90425
요금 및 견적,웨스틴 우붓 예약은 어떻게 진행되나요?,이메일로 정보 전송,액티벤처:90425
상품예약 및 결제,카자네무아 예약은 어떻게 진행하나요?,이메일로 정보 전송,액티벤처:90430
상품예약 및 결제,멜리아 가든뷰 2객실은 요금은 얼마야?,300달러,액티벤처:90440
상품예약 및 결제,공항 픽업 서비스를 받으려면 무엇의 정보를 알려줘야 하나요?,항공편명,액티벤처:90426
상품예약 및 결제,호텔 예약 시 결제는 어떻게 해야 하나요?,달러 또는 카드로 결제,액티벤처:90428
상품예약 및 결제,체크인 15일 이내 취소 시 패널티 없이 환불받을 수 있나요?,아니요.,액티벤처:90416
상품예약 및 결제,호텔 패키지 결제는 어떻게 할 수 있어?,카드로 결제 가능,액티벤처:90421
상품예약 및 결제,모든 카드로 결제가 가능한가요?,아니요.,액티벤처:90426
요금 및 견적,카드 결제가 가능한가?,네.,액티벤처:90419
요금 및 견적,공항 픽업 서비스는 사전 예약이 필수인가요?,네.,액티벤처:90427
상품예약 및 결제,비수기 시즌에 체크인 15일 전 취소하면 호텔 패널티 없이 취소할 수 있어?,응.,액티벤처:90421
상품예약 및 결제,비수기 시즌에 체크인 15일 이전 취소 시 호텔 패널티 없이 취소 가능한가?,네.,액티벤처:90429
요금 및 견적,신한카드로 결제 시 무이자 옵션이 있나요?,아니요.,액티벤처:90437
상품예약 및 결제,카드 결제 시 무이자 할부를 어떻게 받을 수 있어?,"현대 3개월, 국민·삼성 5개월",액티벤처:90431
상품예약 및 결제,공항 픽업 서비스는 개별 픽업인가요?,아니요.,액티벤처:90434
